store_number	phone	street_address	zip_code	city_name	city_state	city_population
447	4581683511	6864 11-street	94432	Seattle	Washington	4500000
475	2866788931	8107 12-street	90231	Seattle	Washington	4500000
493	9412944065	3943 21-street	91065	Seattle	Washington	4500000
21	8100346035	7923 5-street	60072	St. Louis	Missouri	12500000
239	0328540650	2498 13-street	67623	St. Louis	Missouri	12500000
300	1311904701	4245 9-street	67985	St. Louis	Missouri	12500000
241	0201991076	5442 17-street	51858	St. Paul	Minnesota	5500000
408	2632543567	226 1-street	57381	St. Paul	Minnesota	5500000
479	0090946651	6295 1-street	51708	St. Paul	Minnesota	5500000
53	6676192800	83 21-street	57294	St. Paul	Minnesota	5500000
88	0166127626	3472 18-street	57985	St. Paul	Minnesota	5500000
143	0483365462	5678 10-street	36878	St. Petersburg	Florida	8500000
212	5475395435	27 13-street	33780	St. Petersburg	Florida	8500000
35	9145954924	1447 2-street	36083	St. Petersburg	Florida	8500000
353	9701297673	6080 14-street	30028	St. Petersburg	Florida	8500000
214	4508900460	6145 2-street	93331	Stockton	California	1500000
270	5375556938	3903 20-street	96156	Stockton	California	1500000
216	8305074201	431 11-street	30044	Tampa	Florida	4500000
459	7118201545	4298 9-street	35426	Tampa	Florida	4500000
417	3128952067	8994 13-street	47618	Toledo	Ohio	6500000
480	6625252092	3805 17-street	45098	Toledo	Ohio	6500000
105	3104190946	938 1-street	88616	Tucson	Arizona	6500000
113	4873882914	7615 18-street	83673	Tucson	Arizona	6500000
151	0878955277	2201 6-street	80117	Tucson	Arizona	6500000
20	7549789952	6907 20-street	84928	Tucson	Arizona	6500000
40	9595920785	761 9-street	82248	Tucson	Arizona	6500000
77	2482033873	1999 6-street	80110	Tucson	Arizona	6500000
123	1303605607	7125 19-street	74695	Tulsa	Oklahoma	7500000
174	7904799126	6821 5-street	70692	Tulsa	Oklahoma	7500000
27	4816098095	1761 21-street	76335	Tulsa	Oklahoma	7500000
302	0196260955	3723 14-street	73458	Tulsa	Oklahoma	7500000
308	4774579845	2564 12-street	70338	Tulsa	Oklahoma	7500000
352	3934411913	1377 7-street	74506	Tulsa	Oklahoma	7500000
98	0550930689	5440 14-street	73213	Tulsa	Oklahoma	7500000
211	0822618699	9798 11-street	20693	Virginia Beach	Virginia	7500000
26	0905690020	224 12-street	24353	Virginia Beach	Virginia	7500000
360	4778384581	4917 11-street	26584	Virginia Beach	Virginia	7500000
413	0416035288	7610 21-street	21052	Virginia Beach	Virginia	7500000
61	0974656426	4617 1-street	25867	Virginia Beach	Virginia	7500000
85	5547301025	6339 3-street	21991	Virginia Beach	Virginia	7500000
110	4642805710	6370 11-street	21195	Washington	District of Columbia	4500000
227	4421795517	9688 20-street	28350	Washington	District of Columbia	4500000
238	0796533340	7686 9-street	26193	Washington	District of Columbia	4500000
321	6367071155	1490 18-street	22320	Washington	District of Columbia	4500000
431	0236966115	3209 19-street	22709	Washington	District of Columbia	4500000
490	4727909981	5404 20-street	28778	Washington	District of Columbia	4500000
124	0581577930	3991 15-street	66362	Wichita	Kansas	1500000
284	0610638493	8024 8-street	63239	Wichita	Kansas	1500000
390	9443047351	2060 9-street	65393	Wichita	Kansas	1500000
498	1247504448	6436 11-street	67321	Wichita	Kansas	1500000
165	4636463925	9674 6-street	22887	Winston-Salem	North Carolina	9500000
265	2671276641	9110 20-street	22426	Winston-Salem	North Carolina	9500000
339	0093952957	6256 12-street	29980	Winston-Salem	North Carolina	9500000
347	1934743946	1337 11-street	25661	Winston-Salem	North Carolina	9500000
58	4901599445	4818 11-street	21349	Winston-Salem	North Carolina	9500000
